material_name,yield_strength_ksi,ultimate_strength_ksi,elastic_modulus_ksi
UNS S30400,30,58,28500
UNS S30403,30,58,28500
UNS S31600,30,75,28000
UNS S31603,25,70,28000
UNS S32100,30,75,28500
UNS S34700,30,75,28500
A36 Steel,36,58,29000
A572 Grade 50,50,65,29000
A992 Steel,50,65,29000
A514 Steel,100,110,29000
1018 Steel,54,64,29000
1020 Steel,42,55,29000
1045 Steel,77,91,29000
4140 Steel,95,150,29000
4340 Steel,145,180,29000
17-4 PH H900,170,190,28500
17-4 PH H1150,125,145,28000
15-5 PH H1025,145,160,28500
A286,85,130,29000
Inconel 718,150,180,29000
Inconel 625,60,120,29800
Monel 400,35,80,26000
Titanium Grade 2,40,50,15000
Ti-6Al-4V,128,138,16500
Al 2024-T3,47,68,10600
Al 2024-T351,42,62,10600
Al 6061-T6,40,45,10000
Al 6063-T6,31,35,10000
Al 7075-T6,73,83,10400
Al 7050-T7451,67,76,10400
AZ31B Magnesium,29,41,6500
Copper C110,10,32,17000
Brass 260,18,49,15000
Cast Iron Gray 40,20,40,14500
Ductile Iron 65-45-12,45,65,24500
